episodes,scores,epsilon
1,2.0,0.995
2,0.699999988079071,0.990025
3,0.09999996423721313,0.985074875
4,0.0,0.9801495006250001
5,0.699999988079071,0.9752487531218751
6,1.0999999642372131,0.9703725093562657
7,-0.30000001192092896,0.9655206468094844
8,2.399999976158142,0.960693043575437
9,1.0999999642372131,0.9558895783575597
10,0.3999999761581421,0.9511101304657719
11,3.399999976158142,0.946354579813443
12,1.699999988079071,0.9416228069143757
13,0.699999988079071,0.9369146928798039
14,2.699999988079071,0.9322301194154049
15,-0.30000001192092896,0.9275689688183278
16,0.7999999523162842,0.9229311239742362
17,0.0,0.918316468354365
18,1.0999999642372131,0.9137248860125932
19,0.699999988079071,0.9091562615825302
20,3.0,0.9046104802746175
21,0.699999988079071,0.9000874278732445
22,2.399999976158142,0.8955869907338783
23,0.3999999761581421,0.8911090557802088
24,0.699999988079071,0.8866535105013078
25,-0.30000001192092896,0.8822202429488013
26,2.0,0.8778091417340573
27,2.0,0.8734200960253871
28,2.0,0.8690529955452602
29,0.699999988079071,0.8647077305675338
30,1.4999999403953552,0.8603841919146962
31,1.699999988079071,0.8560822709551227
32,1.399999976158142,0.851801859600347
33,-0.30000001192092896,0.8475428503023453
34,4.399999976158142,0.8433051360508336
35,0.09999996423721313,0.8390886103705794
36,0.3999999761581421,0.8348931673187264
37,2.399999976158142,0.8307187014821328
38,0.3999999761581421,0.8265651079747222
39,1.399999976158142,0.8224322824348486
40,1.0999999642372131,0.8183201210226743
41,-0.30000001192092896,0.8142285204175609
42,5.699999988079071,0.810157377815473
43,1.0,0.8061065909263957
44,1.0999999642372131,0.8020760579717637
45,1.699999988079071,0.798065677681905
46,-0.30000001192092896,0.7940753492934954
47,0.09999996423721313,0.7901049725470279
48,0.699999988079071,0.7861544476842928
49,1.699999988079071,0.7822236754458713
50,0.5999999046325684,0.778312557068642
51,0.3999999761581421,0.7744209942832988
52,0.0,0.7705488893118823
53,0.09999996423721313,0.7666961448653229
54,-0.30000001192092896,0.7628626641409962
55,-0.6000000238418579,0.7590483508202912
56,1.699999988079071,0.7552531090661897
57,0.0,0.7514768435208588
58,-1.4000000953674316,0.7477194593032545
59,-0.30000001192092896,0.7439808620067382
60,-0.6000000238418579,0.7402609576967045
61,0.699999988079071,0.736559652908221
62,1.399999976158142,0.7328768546436799
63,2.699999988079071,0.7292124703704616
64,3.699999988079071,0.7255664080186093
65,3.399999976158142,0.7219385759785162
66,3.399999976158142,0.7183288830986236
67,1.0999999642372131,0.7147372386831305
68,3.0,0.7111635524897149
69,1.399999976158142,0.7076077347272662
70,2.399999976158142,0.7040696960536299
71,4.699999988079071,0.7005493475733617
72,1.699999988079071,0.697046600835495
73,1.699999988079071,0.6935613678313175
74,2.0,0.6900935609921609
75,0.0,0.6866430931872001
76,0.699999988079071,0.6832098777212641
